filepath,label,split,generator,mode,group
data/raw/openfake/real/real__048821.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__059557.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__063926.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__063573.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__046728.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__043613.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__017766.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__073039.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__001350.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__053325.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__012933.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__014432.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__002927.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__089374.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__050930.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__013059.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__012300.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__046104.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__020903.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__088073.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__021034.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__054806.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__022101.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__041016.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__070179.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__066013.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__041028.jpg,0,train,real,by_generator,dalle-3
data/raw/openfake/real/real__028497.jpg,0,train,real,by_generator,dalle-3
