filepath,label,split,generator,mode,group
data/raw/openfake/real/real__048821.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__059557.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__063926.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__063573.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__046728.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__043613.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__017766.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__073039.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__001350.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__053325.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__012933.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__014432.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__002927.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__089374.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__050930.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__013059.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__012300.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__046104.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__020903.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__088073.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__021034.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__054806.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__022101.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__041016.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__070179.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__066013.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__041028.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__028497.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__066327.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__013856.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__062589.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__094382.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__035780.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__002180.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__041457.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__037100.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__026281.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__073088.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__013069.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__042820.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__022270.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__024271.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__000094.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__065052.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__091080.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__009511.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__027520.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__003978.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__050449.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__045151.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__077425.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__021363.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__075324.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__065058.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__063877.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__017181.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__058519.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__082861.jpg,0,train,real,by_generator,flux-1.1-pro
data/raw/openfake/real/real__070964.jpg,0,train,real,by_generator,flux-1.1-pro
