filepath,label,split,generator,mode,group
data/raw/openfake/real/real__048821.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__059557.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__063926.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__063573.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__046728.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__043613.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__017766.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__073039.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__001350.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__053325.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__012933.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__014432.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__002927.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__089374.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__050930.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__013059.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__012300.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__046104.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__020903.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__088073.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__021034.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__054806.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__022101.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__041016.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__070179.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__066013.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__041028.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__028497.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__066327.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__013856.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__062589.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__094382.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__035780.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__002180.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__041457.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__037100.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__026281.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__073088.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__013069.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__042820.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__022270.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__024271.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__000094.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__065052.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__091080.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__009511.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__027520.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__003978.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__050449.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__045151.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__077425.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__021363.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__075324.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__065058.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__063877.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__017181.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__058519.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__082861.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__070964.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__093340.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__005205.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__012997.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__029135.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__049500.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__040619.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__012105.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__002850.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__076095.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__085000.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__021797.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__032051.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__054034.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__034581.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__085083.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__095070.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__094468.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__046967.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__083181.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__083234.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__073114.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__084701.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__070361.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__069069.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__067854.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__070014.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__090466.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__042377.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__068276.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__088603.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__069075.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__003723.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__059767.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__088660.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__066206.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__020818.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__011959.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__017809.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__014649.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__018387.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__023076.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__050895.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__021724.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__068239.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__020855.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__064985.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__035838.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__018695.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__051809.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__088719.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__031793.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__005235.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__019584.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__023355.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__087675.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__025008.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__066043.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__053690.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__052006.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__003869.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__004932.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__016206.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__057015.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__086772.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__081392.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__008606.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__091418.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__015086.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__054871.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__003216.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__014832.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__068361.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__045825.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__039681.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__002683.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__042412.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__032899.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__063683.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__010823.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__001287.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__057331.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__095775.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__073762.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__072539.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__055910.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__086444.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__039272.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__056259.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__009152.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__072321.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__072291.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__023841.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__080519.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__034822.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__019146.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__074597.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__062624.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__092066.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__058117.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__052047.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__060687.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__079204.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__060603.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__034828.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__026598.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__062876.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__093022.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__009370.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__065141.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__002654.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__003125.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__009177.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__028979.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__062972.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__082900.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__057487.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__091466.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__067548.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__014085.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__077163.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__005370.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__045560.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__089448.jpg,0,train,real,by_generator,grok-2-image-1212
data/raw/openfake/real/real__022296.jpg,0,train,real,by_generator,grok-2-image-1212
